	egf	hgf	nrg1	plx	plx + egf	plx + hgf	plx + nrg1	mek	mek + egf	mek + hgf	mek + nrg1	erk	erk + egf	erk + hgf	erk + nrg1	akt	akt + egf	akt + hgf	akt + nrg1	pi3k	pi3k + egf	pi3k + hgf	pi3k + nrg1
EGFR	0.39733549754538494	0.5731853329448026	0.6424479953819163	0.5004289905094883	0.5731853329448026	0.39733549754538494	0.6197279188818328	0.28630418515664097	0.5004289905094883	0.6868421147403698	0.28630418515664097	0.16600995143892933	0.4498029174395205	0.5731853329448026	0.8519013610108661	0.39733549754538494	0.423807708906576	0.2274104961030724	0.7085371858396886	0.5004289905094883	0.6868421147403698	0.4498029174395205	0.39733549754538494
MEK	0.4209617398311108	0.6382157135103439	0.774128408872364	-5.997107087378588	-5.924957301622753	-5.790656209911162	-5.69754680551968	1.2667940622727378	1.1853509344670414	1.1848415082467452	1.4083617030514772	-0.2285834247097318	0.4373072967772899	0.7686996346739283	0.9666041464728917	0.6344897428419706	0.7818966556502057	0.5966910117065561	1.0049145054426867	0.5511714424139054	0.5586618830077064	0.20583297129168704	0.5384673863804045
ERK	0.5235619560570128	0.5849625007211562	0.8328900141647416	-0.5405683813627028	-0.4764380439429871	-0.2995602818589078	-0.04580368961312479	-0.3561438102252753	-0.19264507794239588	-0.14201900487242788	0.0	-0.4150374992788438	-0.3561438102252753	-0.24511249783653147	0.16992500144231237	0.4918530963296747	0.28540221886224837	0.42626475470209796	0.7279204545631992	0.32192809488736235	0.6438561897747247	0.45943161863729726	0.42626475470209796
P90RSK	0.3286227474613706	0.802553935793783	0.9660526680766622	-0.2168113890731482	-0.2563397532597855	0.21759143507262685	0.48062584090642063	-0.42626475470209796	0.15869774601905823	0.5044725828607884	0.15869774601905823	-0.3388019134517586	-0.2563397532597855	-0.03394733192333771	0.7234823648025842	-0.2969817377571315	-0.0687127500840142	-0.10433665981473561	0.15869774601905823	0.15869774601905823	0.0972972013549148	-0.1783372412585124	-0.1783372412585124
GSK3AB	1.2812861103900164	2.0033357125632563	2.1246957474493144	0.294961047287093	0.7086368711077118	1.6092471528445833	2.1978537450230196	0.7127180479195289	1.361456459074	1.756865151603911	2.3562481680712386	-0.11826288161981974	1.0524674198941355	1.604862058158861	1.9899463353360771	0.5397332467281585	0.3325753390868709	0.7086368711077118	1.0099840885726221	0.6288167903105837	0.6629650127224292	0.5305147166987798	0.7329525316595827
RPS6	0.8450253400236591	1.4150374992788437	1.645991934118716	-0.7548875021634687	-0.23132554610645567	0.07800251200127316	0.3325753390868709	-0.46948528330122025	0.026472211361191177	0.784271308944563	0.9175378398080271	-0.3973354975453848	0.0	-0.05444778402237646	1.0524674198941355	-0.05444778402237646	-0.11103131238874384	-0.02696704760026932	0.5670405927238937	-0.16992500144231246	-0.05444778402237646	-0.16992500144231246	-0.02696704760026932
PI3K	0.22239242133644802	0.41503749927884376	0.6880559936852598	-0.16992500144231246	0.0	0.15200309344505006	0.3536369546147004	0.0	0.289506617194985	0.07800251200127316	0.41503749927884376	0.0	0.22239242133644802	0.15200309344505006	0.6374299206152918	-0.16992500144231246	0.07800251200127316	-0.08246216019197299	0.41503749927884376	0.07800251200127316	0.41503749927884376	-0.08246216019197299	0.0
AKT	2.876193798385602	5.148677267738273	7.146803115987985	0.36678233067162275	2.351985328743542	5.32382513005996	7.072873035438051	1.3219280948873624	4.516944077292505	5.726487076361941	7.142510176116952	0.03747470541866296	1.9418970454364317	4.712074418624495	6.940043078540613	-0.24792751344358557	-0.1604646721932461	-0.2937312030567103	0.21150410519371182	-0.34103691783506696	0.0	0.0	-0.3899465183160133
MTOR	1.0297473433940518	1.5443205162238103	1.34577483684173	0.45943161863729726	0.5025003405291834	1.369233809665719	1.4150374992788437	0.5849625007211562	0.7369655941662062	1.2976805486406853	1.6911619045530812	-0.12553088208385899	0.5647846187835259	1.1429579538420431	1.1699250014423124	0.5443205162238102	0.5443205162238102	0.5443205162238102	0.7369655941662062	0.48112668973661615	0.7725895038969275	0.41503749927884376	0.5235619560570128
JNK	1.1375035237499351	1.3219280948873624	1.632268215499513	0.48542682717024166	0.632268215499513	0.925999418556223	1.070389327891398	0.5849625007211562	0.765534746362977	1.1043366598147355	0.5360529002402097	0.32192809488736235	0.5360529002402097	0.8073549220576041	1.4854268271702418	0.6780719051126377	0.6780719051126377	0.5360529002402097	0.8875252707415875	0.6780719051126377	0.8073549220576041	0.6780719051126377	0.43295940727610627
CJUN	0.33560303178443884	0.5849625007211562	1.0170735133589415	-0.22239242133644802	-0.2630344058337938	-0.03476541816067664	0.06711419585853703	-0.22239242133644802	-0.07038932789139803	0.06711419585853703	0.19264507794239583	-0.1443899093351748	-0.22239242133644802	0.13124453327825272	0.36257007938470837	-0.07038932789139803	-0.03476541816067664	-0.03476541816067664	0.13124453327825272	-0.1069152039165119	0.0	-0.18286405714981055	-0.1069152039165119
P38	0.0752881273042372	0.301169534720565	0.301169534720565	-0.13492958008610853	-0.1069152039165119	0.0	-0.1069152039165119	-0.16349873228287934	0.0	-0.05246741989413554	0.14684138832927118	-0.13492958008610853	0.05062607306996814	0.12338241550528205	0.32192809488736235	0.025535092107137478	-0.1069152039165119	-0.05246741989413554	0.16992500144231237	0.0752881273042372	0.12338241550528205	0.09953567355091437	-0.025995208532944573
