fpr	noise	panel	tpr
0.0	0.1	braf_wt_theta	0.75
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.75
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.8125
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.75
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.75
0.0	0.1	braf_wt_theta	0.1875
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.0	0.1	braf_wt_theta	0.0
0.008620689655172414	0.1	braf_wt_theta	0.8125
0.008620689655172414	0.1	braf_wt_theta	0.5625
0.008620689655172414	0.1	braf_wt_theta	0.5
0.008620689655172414	0.1	braf_wt_theta	0.8125
0.008620689655172414	0.1	braf_wt_theta	0.5625
